ID,u,v,RP10_fr,RP10_ma,alt_nodes,alt_time,avgspeed,bridge,connected,diff_time,edge_fid,hazard,highway,lanes,length,link_id,maxspeed,node_A,node_B,rfid,rfid_c,time,vlh_business_RP10_ma,vlh_commute_RP10_ma,vlh_freight_RP10_ma,vlh_other_RP10_ma,vlh_RP10_ma_total
17,7,10,0.0,0.0,nan,,58.0,nan,nan,nan,7_10,RP10_ma,tertiary,nan,66.0,17,nan,7,10,28,18,0.001,0.0,0.0,0.0,0.0,0.0
89,9,75,0.0,0.0,nan,,58.0,nan,nan,nan,9_75,RP10_ma,tertiary,nan,121.0,89,nan,9,75,212,20,0.002,0.0,0.0,0.0,0.0,0.0
227,9,120,0.0,0.0,nan,,58.0,nan,nan,nan,9_120,RP10_ma,tertiary,nan,121.0,227,nan,9,120,346,21,0.002,0.0,0.0,0.0,0.0,0.0
16,10,12,0.0,0.0,nan,,58.0,nan,nan,nan,10_12,RP10_ma,tertiary,nan,43.0,16,nan,10,12,34,22,0.001,0.0,0.0,0.0,0.0,0.0
14,10,13,0.0,0.0,nan,,58.0,nan,nan,nan,10_13,RP10_ma,tertiary,nan,42.0,14,nan,10,13,38,23,0.001,0.0,0.0,0.0,0.0,0.0
13,11,12,0.0,0.0,nan,,58.0,nan,nan,nan,11_12,RP10_ma,tertiary,nan,34.0,13,nan,11,12,35,24,0.001,0.0,0.0,0.0,0.0,0.0
15,12,13,0.0,0.0,nan,,58.0,nan,nan,nan,12_13,RP10_ma,tertiary,nan,30.0,15,nan,12,13,39,25,0.001,0.0,0.0,0.0,0.0,0.0
18,14,15,0.0,0.0,nan,,50.0,nan,nan,nan,14_15,RP10_ma,trunk,nan,24.0,18,nan,14,15,43,26,0.0,0.0,0.0,0.0,0.0,0.0
19,14,16,0.0,0.0,nan,,50.0,nan,nan,nan,14_16,RP10_ma,trunk,3,78.0,19,nan,14,16,46,27,0.002,0.0,0.0,0.0,0.0,0.0
23,14,21,0.0,0.0,nan,,50.0,nan,nan,nan,14_21,RP10_ma,trunk,nan,18.0,23,nan,14,21,61,28,0.0,0.0,0.0,0.0,0.0,0.0
91,15,17,0.0,0.0,nan,,50.0,nan,nan,nan,15_17,RP10_ma,trunk,nan,23.0,91,nan,15,17,49,29,0.0,0.0,0.0,0.0,0.0,0.0
110,15,87,0.0,0.0,nan,,50.0,nan,nan,nan,15_87,RP10_ma,trunk,2,80.0,110,nan,15,87,248,30,0.002,0.0,0.0,0.0,0.0,0.0
108,16,87,0.0,0.0,nan,,50.0,nan,nan,nan,16_87,RP10_ma,secondary,nan,13.0,108,nan,16,87,249,31,0.0,0.0,0.0,0.0,0.0,0.0
115,16,91,0.0,0.0,nan,,50.0,nan,nan,nan,16_91,RP10_ma,trunk,3,63.0,115,nan,16,91,259,32,0.001,0.0,0.0,0.0,0.0,0.0
20,17,18,0.0,0.0,nan,,50.0,nan,nan,nan,17_18,RP10_ma,trunk,nan,26.0,20,nan,17,18,52,33,0.001,0.0,0.0,0.0,0.0,0.0
21,17,19,0.0,0.0,nan,,58.0,nan,nan,nan,17_19,RP10_ma,tertiary,nan,72.0,21,nan,17,19,55,34,0.001,0.0,0.0,0.0,0.0,0.0
22,18,20,0.0,0.0,nan,,50.0,nan,nan,nan,18_20,RP10_ma,trunk,nan,10.0,22,nan,18,20,58,35,0.0,0.0,0.0,0.0,0.0,0.0
176,18,127,0.0,0.0,nan,,58.0,nan,nan,nan,18_127,RP10_ma,tertiary,nan,75.0,176,nan,18,127,367,36,0.001,0.0,0.0,0.0,0.0,0.0
174,19,124,0.0,0.0,nan,,58.0,nan,nan,nan,19_124,RP10_ma,tertiary,nan,16.0,174,nan,19,124,358,37,0.0,0.0,0.0,0.0,0.0,0.0
175,19,127,0.0,0.0,nan,,58.0,nan,nan,nan,19_127,RP10_ma,tertiary_link,nan,21.0,175,nan,19,127,368,38,0.0,0.0,0.0,0.0,0.0,0.0
92,20,69,0.0,0.0,nan,,50.0,nan,nan,nan,20_69,RP10_ma,trunk,nan,34.0,92,nan,20,69,196,39,0.001,0.0,0.0,0.0,0.0,0.0
93,20,70,0.0,0.0,nan,,58.0,nan,nan,nan,20_70,RP10_ma,tertiary,nan,413.0,93,nan,20,70,199,40,0.007,0.0,0.0,0.0,0.0,0.0
122,21,94,0.0,0.0,nan,,50.0,nan,nan,nan,21_94,RP10_ma,trunk,nan,31.0,122,nan,21,94,268,41,0.001,0.0,0.0,0.0,0.0,0.0
125,21,96,0.0,0.0,nan,,58.0,nan,nan,nan,21_96,RP10_ma,tertiary,nan,108.0,125,nan,21,96,274,42,0.002,0.0,0.0,0.0,0.0,0.0
236,22,36,0.0,0.0,nan,,58.0,nan,nan,nan,22_36,RP10_ma,tertiary,nan,44.0,236,nan,22,36,106,43,0.001,0.0,0.0,0.0,0.0,0.0
237,22,24,0.0,0.0,nan,,58.0,nan,nan,nan,22_24,RP10_ma,tertiary,nan,116.0,237,nan,22,24,70,44,0.002,0.0,0.0,0.0,0.0,0.0
36,23,24,0.0,0.0,nan,,58.0,nan,nan,nan,23_24,RP10_ma,tertiary,2,782.0,36,nan,23,24,71,45,0.013,0.0,0.0,0.0,0.0,0.0
26,23,25,0.0,0.0,nan,,58.0,nan,nan,nan,23_25,RP10_ma,tertiary,nan,61.0,26,nan,23,25,73,46,0.001,0.0,0.0,0.0,0.0,0.0
72,23,62,0.0,0.0,nan,,58.0,nan,nan,nan,23_62,RP10_ma,tertiary,nan,62.0,72,nan,23,62,175,47,0.001,0.0,0.0,0.0,0.0,0.0
